N,CPU,Compilation Parameter,t(s)
389,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
390,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
391,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
392,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
393,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
394,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
395,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
396,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
397,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
398,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
399,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
400,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
401,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
402,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
403,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
404,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
405,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
406,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
407,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
408,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
409,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
410,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
411,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
412,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
413,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
414,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
415,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
416,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
417,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
418,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
419,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
420,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
421,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
422,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
423,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
424,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
425,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
426,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
427,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
428,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
429,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
430,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
431,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
432,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
433,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
434,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
