N,CPU,Compilation Parameter,t(s)
340,2.7 GHz Intel Core i5 Dual-Core,O3,0.040323
341,2.7 GHz Intel Core i5 Dual-Core,O3,0.040237
342,2.7 GHz Intel Core i5 Dual-Core,O3,0.041165
343,2.7 GHz Intel Core i5 Dual-Core,O3,0.041071
344,2.7 GHz Intel Core i5 Dual-Core,O3,0.041208
345,2.7 GHz Intel Core i5 Dual-Core,O3,0.041349
346,2.7 GHz Intel Core i5 Dual-Core,O3,0.041248
347,2.7 GHz Intel Core i5 Dual-Core,O3,0.042034
348,2.7 GHz Intel Core i5 Dual-Core,O3,0.044939
349,2.7 GHz Intel Core i5 Dual-Core,O3,0.057825
350,2.7 GHz Intel Core i5 Dual-Core,O3,0.044149
351,2.7 GHz Intel Core i5 Dual-Core,O3,0.045572
352,2.7 GHz Intel Core i5 Dual-Core,O3,0.048855
353,2.7 GHz Intel Core i5 Dual-Core,O3,0.045009
354,2.7 GHz Intel Core i5 Dual-Core,O3,0.045204
355,2.7 GHz Intel Core i5 Dual-Core,O3,0.045392
356,2.7 GHz Intel Core i5 Dual-Core,O3,0.046669
357,2.7 GHz Intel Core i5 Dual-Core,O3,0.045463
358,2.7 GHz Intel Core i5 Dual-Core,O3,0.045602
359,2.7 GHz Intel Core i5 Dual-Core,O3,0.048302
360,2.7 GHz Intel Core i5 Dual-Core,O3,0.060935
361,2.7 GHz Intel Core i5 Dual-Core,O3,0.047261
362,2.7 GHz Intel Core i5 Dual-Core,O3,0.046572
363,2.7 GHz Intel Core i5 Dual-Core,O3,0.047169
364,2.7 GHz Intel Core i5 Dual-Core,O3,0.047391
365,2.7 GHz Intel Core i5 Dual-Core,O3,0.047790
366,2.7 GHz Intel Core i5 Dual-Core,O3,0.048696
367,2.7 GHz Intel Core i5 Dual-Core,O3,0.051396
368,2.7 GHz Intel Core i5 Dual-Core,O3,0.052297
369,2.7 GHz Intel Core i5 Dual-Core,O3,0.056745
370,2.7 GHz Intel Core i5 Dual-Core,O3,0.050128
371,2.7 GHz Intel Core i5 Dual-Core,O3,0.051108
372,2.7 GHz Intel Core i5 Dual-Core,O3,0.050769
373,2.7 GHz Intel Core i5 Dual-Core,O3,0.051157
374,2.7 GHz Intel Core i5 Dual-Core,O3,0.051697
375,2.7 GHz Intel Core i5 Dual-Core,O3,0.051887
376,2.7 GHz Intel Core i5 Dual-Core,O3,0.052776
377,2.7 GHz Intel Core i5 Dual-Core,O3,0.053038
378,2.7 GHz Intel Core i5 Dual-Core,O3,0.065397
379,2.7 GHz Intel Core i5 Dual-Core,O3,0.053773
380,2.7 GHz Intel Core i5 Dual-Core,O3,0.054375
381,2.7 GHz Intel Core i5 Dual-Core,O3,0.054474
382,2.7 GHz Intel Core i5 Dual-Core,O3,0.054783
383,2.7 GHz Intel Core i5 Dual-Core,O3,0.055216
384,2.7 GHz Intel Core i5 Dual-Core,O3,0.103974
385,2.7 GHz Intel Core i5 Dual-Core,O3,0.056478
386,2.7 GHz Intel Core i5 Dual-Core,O3,0.066517
387,2.7 GHz Intel Core i5 Dual-Core,O3,0.057251
388,2.7 GHz Intel Core i5 Dual-Core,O3,0.057523
389,2.7 GHz Intel Core i5 Dual-Core,O3,0.059964
390,2.7 GHz Intel Core i5 Dual-Core,O3,0.058814
391,2.7 GHz Intel Core i5 Dual-Core,O3,0.059372
392,2.7 GHz Intel Core i5 Dual-Core,O3,0.059709
393,2.7 GHz Intel Core i5 Dual-Core,O3,0.059706
394,2.7 GHz Intel Core i5 Dual-Core,O3,0.070691
395,2.7 GHz Intel Core i5 Dual-Core,O3,0.060926
396,2.7 GHz Intel Core i5 Dual-Core,O3,0.061002
397,2.7 GHz Intel Core i5 Dual-Core,O3,0.061703
398,2.7 GHz Intel Core i5 Dual-Core,O3,0.062277
399,2.7 GHz Intel Core i5 Dual-Core,O3,0.062596
400,2.7 GHz Intel Core i5 Dual-Core,O3,0.066263
401,2.7 GHz Intel Core i5 Dual-Core,O3,0.063616
402,2.7 GHz Intel Core i5 Dual-Core,O3,0.072193
403,2.7 GHz Intel Core i5 Dual-Core,O3,0.064909
404,2.7 GHz Intel Core i5 Dual-Core,O3,0.065420
405,2.7 GHz Intel Core i5 Dual-Core,O3,0.065813
406,2.7 GHz Intel Core i5 Dual-Core,O3,0.065999
407,2.7 GHz Intel Core i5 Dual-Core,O3,0.066570
408,2.7 GHz Intel Core i5 Dual-Core,O3,0.066850
409,2.7 GHz Intel Core i5 Dual-Core,O3,0.079400
410,2.7 GHz Intel Core i5 Dual-Core,O3,0.068242
411,2.7 GHz Intel Core i5 Dual-Core,O3,0.069109
412,2.7 GHz Intel Core i5 Dual-Core,O3,0.068961
413,2.7 GHz Intel Core i5 Dual-Core,O3,0.070437
414,2.7 GHz Intel Core i5 Dual-Core,O3,0.069923
415,2.7 GHz Intel Core i5 Dual-Core,O3,0.070362
416,2.7 GHz Intel Core i5 Dual-Core,O3,0.087252
417,2.7 GHz Intel Core i5 Dual-Core,O3,0.071998
418,2.7 GHz Intel Core i5 Dual-Core,O3,0.072414
419,2.7 GHz Intel Core i5 Dual-Core,O3,0.072805
420,2.7 GHz Intel Core i5 Dual-Core,O3,0.072949
421,2.7 GHz Intel Core i5 Dual-Core,O3,0.073734
422,2.7 GHz Intel Core i5 Dual-Core,O3,0.083462
423,2.7 GHz Intel Core i5 Dual-Core,O3,0.075295
424,2.7 GHz Intel Core i5 Dual-Core,O3,0.077573
425,2.7 GHz Intel Core i5 Dual-Core,O3,0.100009
426,2.7 GHz Intel Core i5 Dual-Core,O3,0.078096
427,2.7 GHz Intel Core i5 Dual-Core,O3,0.077081
428,2.7 GHz Intel Core i5 Dual-Core,O3,0.086400
429,2.7 GHz Intel Core i5 Dual-Core,O3,0.078667
430,2.7 GHz Intel Core i5 Dual-Core,O3,0.079948
431,2.7 GHz Intel Core i5 Dual-Core,O3,0.079361
432,2.7 GHz Intel Core i5 Dual-Core,O3,0.084884
433,2.7 GHz Intel Core i5 Dual-Core,O3,0.082959
434,2.7 GHz Intel Core i5 Dual-Core,O3,0.094874
